"file","segment","start","end","dur","filedur","mean_intensity","condition","proto_file"
"PINTs_engl310_13_87","sil",2.171,2.439,0.268,3.831,30.283,"PINTs","engl310_13_87"
"PINTs_engl310_13_87","uh",3.175,3.42,0.245,3.831,78.923,"PINTs","engl310_13_87"
"PINTs_engl310_13_87","in",3.42,3.799,0.378,3.831,45.042,"PINTs","engl310_13_87"
"PINTs_engl310_24_10","in",0.027,0.34,0.313,7.837,47.47,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","uh",0.34,1.542,1.202,7.837,74.359,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","uh",1.935,2.14,0.205,7.837,80.958,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","uh",2.223,2.362,0.139,7.837,78.82,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","uh",5.108,5.291,0.184,7.837,74.648,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","sil",6.915,7.447,0.533,7.837,25.854,"PINTs","engl310_24_10"
"PINTs_engl310_24_10","in",7.447,7.805,0.358,7.837,41.365,"PINTs","engl310_24_10"
"noPINTs_engl310_01_234","in",0,0.334,0.334,11.61,31.432,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","sil",0.334,0.438,0.103,11.61,25.918,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","sil",1.019,1.386,0.366,11.61,25.802,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","in",4.869,5.147,0.278,11.61,48.422,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","uh",5.147,5.554,0.407,11.61,78.205,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","in",9.155,9.517,0.362,11.61,42.181,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","sil",9.517,9.61,0.093,11.61,31.99,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_234","in",11.534,11.61,0.076,11.61,47.616,"noPINTs","engl310_01_234"
"noPINTs_engl310_01_236","in",0.029,0.276,0.247,6.177,53.127,"noPINTs","engl310_01_236"
"noPINTs_engl310_01_236","uh",0.276,0.565,0.289,6.177,82.208,"noPINTs","engl310_01_236"
"noPINTs_engl310_01_236","sil",2.93,2.988,0.058,6.177,40.778,"noPINTs","engl310_01_236"
"noPINTs_engl310_01_236","sil",3.74,3.949,0.209,6.177,28.958,"noPINTs","engl310_01_236"
